注文ID,日付,商品名,カテゴリ,数量,単価,割引額,支払方法,地域,メモ
1,2026-04-01,ノートPC,家電,1,98000,5000,クレジットカード,東京,確認済み
2,2026-04-01,マウス,周辺機器,2,3500,0,電子マネー,大阪,
3,2026-04-02,キーボード,周辺機器,1,7800,500,QR決済,神奈川,急ぎ
4,2026-04-02,モニター,家電,1,32000,2000,クレジットカード,福岡,
5,2026-04-03,USBメモリ,周辺機器,3,1800,0,コンビニ払い,東京,
6,2026-04-03,タブレット,家電,1,54000,3000,クレジットカード,北海道,確認済み
7,2026-04-04,イヤホン,周辺機器,2,12000,1000,QR決済,大阪,
8,2026-04-04,プリンター,家電,1,24000,なし,銀行振込,愛知,割引未確認
9,2026-04-05,ノート,文房具,5,300,0,電子マネー,東京,
10,2026-04-05,ペン,文房具,10,120,0,QR決済,京都,
11,2026-04-06,スマートフォン,家電,1,89000,7000,クレジットカード,沖縄,確認済み
12,2026-04-06,外付けSSD,周辺機器,2,16000,1500,電子マネー,神奈川,
13,2026-04-07,本棚,家具,1,15000,1000,コンビニ払い,東京,
14,2026-04-07,椅子,家具,2,8700,0,クレジットカード,大阪,
15,2026-04-08,机,家具,1,22000,2000,銀行振込,福岡,配送注意
16,2026-04-08,ルーター,周辺機器,1,13000,500,QR決済,愛知,
17,2026-04-09,Webカメラ,周辺機器,2,7000,0,クレジットカード,東京,
18,2026-04-09,スピーカー,周辺機器,1,10000,なし,電子マネー,北海道,
19,2026-04-10,プロジェクター,家電,1,69000,5000,クレジットカード,京都,確認済み
20,2026-04-10,スキャナー,家電,1,27000,1000,コンビニ払い,沖縄,
21,2026-04-11,ノートPC,家電,1,128000,8000,クレジットカード,東京,
22,2026-04-11,マウス,周辺機器,,3500,0,QR決済,大阪,数量未入力
23,2026-04-12,キーボード,周辺機器,2,7800,500,電子マネー,神奈川,
24,2026-04-12,モニター,家電,1,46000,3000,クレジットカード,福岡,
25,2026-04-13,USBメモリ,周辺機器,4,1800,0,コンビニ払い,東京,
26,2026-04-13,タブレット,家電,1,72000,4000,銀行振込,北海道,
27,2026-04-14,イヤホン,周辺機器,2,18000,1500,QR決済,大阪,
28,2026-04-14,プリンター,家電,1,39000,2000,クレジットカード,愛知,
29,2026-04-15,ノート,文房具,8,300,0,電子マネー,東京,
30,2026-04-15,ペン,文房具,20,120,0,QR決済,京都,
31,2026-04-16,スマートフォン,家電,1,64000,3000,クレジットカード,沖縄,
32,2026-04-16,外付けSSD,周辺機器,1,24000,1000,電子マネー,神奈川,
33,2026-04-17,本棚,家具,1,15000,なし,コンビニ払い,東京,
34,2026-04-17,椅子,家具,3,8700,1000,クレジットカード,大阪,
35,2026-04-18,机,家具,1,22000,2000,銀行振込,福岡,
36,2026-04-18,ルーター,周辺機器,2,13000,1000,QR決済,愛知,
37,2026-04-19,Webカメラ,周辺機器,1,7000,0,クレジットカード,東京,
38,2026-04-19,スピーカー,周辺機器,2,10000,1000,電子マネー,北海道,
39,2026-04-20,プロジェクター,家電,1,88000,6000,クレジットカード,京都,
40,2026-04-20,スキャナー,家電,1,42000,2000,コンビニ払い,沖縄,
